epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.202,0.82725,3.31874,1.06502,0.00462,0.8303,0.46876,0.38286,0.61018,3.42074,0.96494,0.00021671,0.00021671,0.00021671
2,537.158,0.86231,2.59472,1.07526,0.00522,0.90808,0.60079,0.46907,0.75306,3.21136,1.01755,0.000405531,0.000405531,0.000405531
3,802.077,0.94481,2.15908,1.06594,1,0.14749,0.62587,0.49402,0.81754,3.16978,1.07125,0.000548143,0.000548143,0.000548143
4,1083.04,0.89498,2.12184,1.11989,1,0.09285,0.55567,0.41495,0.92096,3.21873,1.1522,0.000644546,0.000644546,0.000644546
5,1276.19,0.89967,1.95498,1.07159,0.95728,0.38966,0.64889,0.51351,0.85491,2.83372,1.08918,0.000694739,0.000694739,0.000694739
6,1470.17,0.90547,1.83607,1.09963,0.75705,0.55604,0.65989,0.51811,0.8811,2.44881,1.103,0.000698723,0.000698723,0.000698723
7,1664.68,0.88651,1.84696,1.08673,0.78011,0.62507,0.73094,0.56571,0.86731,2.29386,1.12101,0.000656498,0.000656498,0.000656498
8,1959.83,0.83633,1.63042,1.04438,0.86045,0.68384,0.76685,0.59308,0.84954,1.98392,1.0994,0.000511769,0.000511769,0.000511769
9,2177.82,0.78832,1.5457,1.01114,0.91488,0.71691,0.8208,0.62561,0.79066,1.85791,1.07463,0.000346736,0.000346736,0.000346736
10,2436.67,0.70814,1.42936,0.97222,0.88672,0.75201,0.82001,0.65925,0.7306,1.68816,1.05869,0.000181703,0.000181703,0.000181703
